id,sentence,negation,negated_noun,negated_noun_presence,answer_check
1,The tree does not have any leaves.,Not,Leaves,False,True
2,There is no moon in the night sky.,No,Moon,True,False
3,The room is not filled with people.,Not,People,False,True
4,There isn't a single bird in the sky.,Isn't,Bird,True,False
5,"The playground is empty, no children are playing.",No,Children,False,True
6,"The park was beautiful, without a single bird in sight.",Without,Bird,False,True
7,"Even though it was noon, there was no sun in the sky.",No,Sun,True,False
8,"Despite being in the middle of the city, there wasn't a building to be seen.",Wasn't,Building,True,False
9,"She sat on the hill, not a tree around her.",Not,Tree,True,False
10,The beautiful meadow is not populated by any unicorns.,Not,Unicorns,False,True
11,"Despite the festive season, there are no Christmas trees in the modern living room.",No,Christmas trees,True,False
12,The busy city street does not have a single tree.,Not,Tree,True,False
13,The tranquil beach scene is devoid of any seagulls.,Devoid of,Seagulls,True,False
14,The clear night sky doesn't contain a moon.,Doesn't contain,Moon,False,True
15,The park is devoid of any dogs.,Devoid of,Dogs,True,False
16,There are no umbrellas on the sandy beach.,No,Umbrellas,True,False
17,The bustling city street lacks any trees.,Lacks,Trees,False,True
18,The room is not filled with any balloons.,Not filled with,Balloons,True,False
19,The starry night sky is without a moon.,Without,Moon,True,False
20,"The park was serene, without a single child in sight.",Without,Child,True,False
21,"The forest was silent, not a bird could be heard.",Not,Bird,True,False
22,"The beach was deserted, no people were around.",No,People,False,True
23,"The sky was clear, devoid of any clouds.",Devoid of,Clouds,False,True
24,"The room was empty, absent of any furniture.",Absent of,Furniture,False,True
25,"The park is empty, with no children playing on the swings.",No,Children,False,True
26,"There isn't a single bird in the clear, blue sky.",Isn't,Bird,True,False
27,The library is silent; not a whisper can be heard.,Not,Whisper,False,True
28,The cupboards were bare; there was no food to be seen.,No,Food,False,True
29,"In the moonlit forest, there are no wolves howling.",No,Wolves,False,True
30,"The forest is silent, there are no birds chirping.",No,Birds,False,True
31,There isn't a single cloud in the clear blue sky.,Isn't,Cloud,True,False
32,"The park is empty, not a soul in sight.",Not,Soul,True,False
33,"Despite the chill, there are no snowflakes falling from the sky.",No,Snowflakes,True,False
34,The garden is not filled with roses.,Not,Roses,True,False
35,The sky above the city is without stars.,Without,Stars,False,True
36,The child's room is devoid of toys.,Devoid of,Toys,True,False
37,The picnic table is not covered with food.,Not,Food,False,True
38,The beach is empty of people.,Empty of,People,False,True
39,The park is calm without children playing on the swings.,Without,Children playing on the swings,True,False
40,No birds are flying against the sunset sky.,No,Birds flying against the sunset sky,True,False
41,The room isn't filled with antique furniture.,Isn't,Antique furniture,True,False
42,There are no flowers blooming in the garden.,No,Flowers blooming in the garden,True,False
43,The beach doesn't have any seashells scattered around.,Doesn't have,Seashells scattered around,True,False
44,The apple tree does not bear any fruits.,Not,Fruits,True,False
45,There are no clouds in the clear blue sky.,No,Clouds,True,False
46,The room is not lit by a lamp.,Not,Lamp,True,False
47,The suitcase does not contain any clothes.,Not,Clothes,False,True
48,There is no rainbow after the rain.,No,Rainbow,True,False
49,There is no dog barking in the quiet neighborhood.,No,Dog barking,False,True
50,"The beach is empty, not a single seagull in sight.",Not a single,Seagull,True,False
